latitude,longitude,temperature,ndvi,recommendation
17.49998899741453,78.34697593254369,36.54479228000002,0.0,Plant trees and improve vegetation
17.49999277166672,78.34725822839401,37.132691720000025,0.0,Plant trees and improve vegetation
17.49999654551835,78.34754052431497,37.17028994000003,0.0,Plant trees and improve vegetation
17.500000318969427,78.34782282030653,37.01306102000001,0.0,Plant trees and improve vegetation
17.500004092019953,78.34810511636873,36.97888082000003,0.0,Plant trees and improve vegetation
17.50000786466992,78.34838741250152,37.00964299999998,0.0,Plant trees and improve vegetation
17.50001163691934,78.34866970870492,37.04382320000002,0.0,Plant trees and improve vegetation
17.5000154087682,78.34895200497893,37.04040517999999,0.0,Plant trees and improve vegetation
17.500019180216505,78.34923430132348,37.34802697999999,0.0,Plant trees and improve vegetation
17.500022951264256,78.34951659773864,37.49500183999999,0.0,Plant trees and improve vegetation
17.500026721911453,78.34979889422436,37.7616074,0.0,Plant trees and improve vegetation
17.500030492158086,78.35008119078064,37.24548637999999,0.0,Plant trees and improve vegetation
17.500034262004167,78.35036348740746,37.30359271999998,0.0,Plant trees and improve vegetation
17.50003803144969,78.35064578410486,37.34119094000005,0.0,Plant trees and improve vegetation
17.500041800494653,78.35092808087278,37.300174700000014,0.0,Plant trees and improve vegetation
17.50004556913906,78.35121037771124,37.49841986000001,0.0,Plant trees and improve vegetation
17.500049337382904,78.3514926746202,37.29675668000005,0.0,Plant trees and improve vegetation
17.500053105226193,78.3517749715997,37.11560162000001,0.0,Plant trees and improve vegetation
17.500056872668917,78.35205726864972,36.91735646000001,0.0,Plant trees and improve vegetation
17.500060639711087,78.35233956577022,36.76012753999999,0.0,Plant trees and improve vegetation
17.500064406352696,78.35262186296121,36.61315267999999,0.0,Plant trees and improve vegetation
17.500068172593743,78.3529041602227,36.85925012000001,0.0,Plant trees and improve vegetation
17.500071938434225,78.35318645755467,36.95153665999999,0.0,Plant trees and improve vegetation
17.500075703874145,78.35346875495712,37.04040517999999,0.0,Plant trees and improve vegetation
17.5000794689135,78.35375105243001,37.20788816000004,0.0,Plant trees and improve vegetation
17.5000832335523,78.35403334997338,38.14442564000001,0.0,Plant trees and improve vegetation
17.500086997790536,78.35431564758719,37.97694266000002,0.0,Plant trees and improve vegetation
17.5000907616282,78.35459794527145,37.57019828,0.0,Plant trees and improve vegetation
17.500094525065307,78.35488024302614,37.29675668000005,0.0,Plant trees and improve vegetation
17.50009828810185,78.35516254085125,36.87634022000003,0.0,Plant trees and improve vegetation
17.500102050737823,78.35544483874678,37.03015112000003,0.0,Plant trees and improve vegetation
